product_id,product_name,category_name,subcategory_name,brand,unit_type,package_size,base_price,launch_date
P0025,City газированные напитки 15,Прохладительные напитки,Газированные напитки,City,pcs,750,111.55,2023-01-01
P0026,Wave газированные напитки 16,Прохладительные напитки,Газированные напитки,Wave,pcs,750,95.59,2023-01-01
P0027,Fresh газированные напитки 17,Прохладительные напитки,Газированные напитки,Fresh,pcs,500,72.3,2023-01-01
P0028,Fresh газированные напитки 18,Прохладительные напитки,Газированные напитки,Fresh,pcs,450,151.99,2023-01-01
P0029,Pulse газированные напитки 19,Прохладительные напитки,Газированные напитки,Pulse,pcs,1000,148.32,2023-01-01
P0030,Volt газированные напитки 20,Прохладительные напитки,Газированные напитки,Volt,pcs,1000,139.01,2023-01-01
P0031,North газированные напитки 21,Прохладительные напитки,Газированные напитки,North,pcs,250,108.71,2023-01-01
P0032,Fresh газированные напитки 22,Прохладительные напитки,Газированные напитки,Fresh,pcs,330,124.8,2023-01-01
P0033,Wave вода 1,Прохладительные напитки,Вода,Wave,pcs,450,78.08,2023-01-01
P0034,Volt вода 2,Прохладительные напитки,Вода,Volt,pcs,1000,117.0,2023-01-01
P0035,Wave вода 3,Прохладительные напитки,Вода,Wave,pcs,330,67.09,2023-01-01
P0036,City вода 4,Прохладительные напитки,Вода,City,pcs,250,100.43,2023-01-01
P0037,Pulse вода 5,Прохладительные напитки,Вода,Pulse,pcs,250,63.12,2023-01-01
P0038,Wave вода 6,Прохладительные напитки,Вода,Wave,pcs,250,104.84,2023-01-01
P0039,City вода 7,Прохладительные напитки,Вода,City,pcs,500,88.62,2023-01-01
P0040,City вода 8,Прохладительные напитки,Вода,City,pcs,500,65.91,2023-01-01
P0041,Volt вода 9,Прохладительные напитки,Вода,Volt,pcs,750,86.07,2023-01-01
P0042,Pulse вода 10,Прохладительные напитки,Вода,Pulse,pcs,450,119.48,2023-01-01
P0043,Volt вода 11,Прохладительные напитки,Вода,Volt,pcs,1000,50.33,2023-01-01
P0044,Fresh вода 12,Прохладительные напитки,Вода,Fresh,pcs,450,91.14,2023-01-01
P0045,Wave вода 13,Прохладительные напитки,Вода,Wave,pcs,500,107.9,2023-01-01
P0046,Fresh вода 14,Прохладительные напитки,Вода,Fresh,pcs,330,114.77,2023-01-01
P0047,North вода 15,Прохладительные напитки,Вода,North,pcs,500,97.1,2023-01-01
P0048,Pulse вода 16,Прохладительные напитки,Вода,Pulse,pcs,450,50.07,2023-01-01
P0049,City вода 17,Прохладительные напитки,Вода,City,pcs,1000,47.41,2023-01-01
P0050,Wave вода 18,Прохладительные напитки,Вода,Wave,pcs,750,117.15,2023-01-01
P0051,Пломбирия порционное мороженое 1,Мороженое,Порционное мороженое,Пломбирия,pcs,330,156.36,2023-01-01
P0052,Пломбирия порционное мороженое 2,Мороженое,Порционное мороженое,Пломбирия,pcs,330,97.47,2023-01-01
P0053,Пломбирия порционное мороженое 3,Мороженое,Порционное мороженое,Пломбирия,pcs,330,124.46,2023-01-01
P0054,Пломбирия порционное мороженое 4,Мороженое,Порционное мороженое,Пломбирия,pcs,1000,152.9,2023-01-01
P0055,Снежок порционное мороженое 5,Мороженое,Порционное мороженое,Снежок,pcs,250,148.79,2023-01-01
P0056,Лето порционное мороженое 6,Мороженое,Порционное мороженое,Лето,pcs,500,80.09,2023-01-01
P0057,Пломбирия порционное мороженое 7,Мороженое,Порционное мороженое,Пломбирия,pcs,250,77.29,2023-01-01
P0058,Снежок порционное мороженое 8,Мороженое,Порционное мороженое,Снежок,pcs,450,92.73,2023-01-01
P0059,Снежок порционное мороженое 9,Мороженое,Порционное мороженое,Снежок,pcs,330,128.12,2023-01-01
P0060,Снежок порционное мороженое 10,Мороженое,Порционное мороженое,Снежок,pcs,500,167.91,2023-01-01
P0061,Лето порционное мороженое 11,Мороженое,Порционное мороженое,Лето,pcs,500,81.79,2023-01-01
P0062,Лето порционное мороженое 12,Мороженое,Порционное мороженое,Лето,pcs,250,151.34,2023-01-01
P0063,Лето порционное мороженое 13,Мороженое,Порционное мороженое,Лето,pcs,1000,168.24,2023-01-01
P0064,Пломбирия порционное мороженое 14,Мороженое,Порционное мороженое,Пломбирия,pcs,500,116.55,2023-01-01
P0065,Лето порционное мороженое 15,Мороженое,Порционное мороженое,Лето,pcs,250,79.01,2023-01-01
P0066,Лето порционное мороженое 16,Мороженое,Порционное мороженое,Лето,pcs,1000,129.4,2023-01-01
P0067,Пломбирия порционное мороженое 17,Мороженое,Порционное мороженое,Пломбирия,pcs,250,101.09,2023-01-01
P0068,Пломбирия порционное мороженое 18,Мороженое,Порционное мороженое,Пломбирия,pcs,250,124.17,2023-01-01
P0069,Пломбирия порционное мороженое 19,Мороженое,Порционное мороженое,Пломбирия,pcs,1000,160.26,2023-01-01
P0070,Пломбирия порционное мороженое 20,Мороженое,Порционное мороженое,Пломбирия,pcs,450,171.47,2023-01-01
P0071,Пломбирия порционное мороженое 21,Мороженое,Порционное мороженое,Пломбирия,pcs,330,102.28,2023-01-01
P0072,Снежок порционное мороженое 22,Мороженое,Порционное мороженое,Снежок,pcs,500,144.35,2023-01-01
P0073,Лето порционное мороженое 23,Мороженое,Порционное мороженое,Лето,pcs,250,176.97,2023-01-01
P0074,Лето порционное мороженое 24,Мороженое,Порционное мороженое,Лето,pcs,250,121.6,2023-01-01
P0075,Пломбирия порционное мороженое 25,Мороженое,Порционное мороженое,Пломбирия,pcs,1000,104.61,2023-01-01
P0076,Кукуруза чипсы и снеки 1,Снеки,Чипсы и снеки,Кукуруза,pcs,750,151.73,2023-01-01
P0077,Кукуруза чипсы и снеки 2,Снеки,Чипсы и снеки,Кукуруза,pcs,1000,95.8,2023-01-01
P0078,Кукуруза чипсы и снеки 3,Снеки,Чипсы и снеки,Кукуруза,pcs,750,168.77,2023-01-01
P0079,Хруст чипсы и снеки 4,Снеки,Чипсы и снеки,Хруст,pcs,250,158.34,2023-01-01
P0080,Кукуруза чипсы и снеки 5,Снеки,Чипсы и снеки,Кукуруза,pcs,750,88.14,2023-01-01
P0081,Кукуруза чипсы и снеки 6,Снеки,Чипсы и снеки,Кукуруза,pcs,330,133.09,2023-01-01
P0082,Хруст чипсы и снеки 7,Снеки,Чипсы и снеки,Хруст,pcs,1000,116.95,2023-01-01
P0083,Кукуруза чипсы и снеки 8,Снеки,Чипсы и снеки,Кукуруза,pcs,750,116.91,2023-01-01
P0084,Хруст чипсы и снеки 9,Снеки,Чипсы и снеки,Хруст,pcs,330,184.95,2023-01-01
P0085,Кукуруза чипсы и снеки 10,Снеки,Чипсы и снеки,Кукуруза,pcs,450,153.28,2023-01-01
P0086,Snack Lab чипсы и снеки 11,Снеки,Чипсы и снеки,Snack Lab,pcs,330,187.49,2023-01-01
P0087,Snack Lab чипсы и снеки 12,Снеки,Чипсы и снеки,Snack Lab,pcs,750,94.32,2023-01-01
P0088,Snack Lab чипсы и снеки 13,Снеки,Чипсы и снеки,Snack Lab,pcs,1000,92.09,2023-01-01
P0089,Кукуруза чипсы и снеки 14,Снеки,Чипсы и снеки,Кукуруза,pcs,330,121.59,2023-01-01
P0090,Кукуруза чипсы и снеки 15,Снеки,Чипсы и снеки,Кукуруза,pcs,450,93.43,2023-01-01
P0091,Кукуруза чипсы и снеки 16,Снеки,Чипсы и снеки,Кукуруза,pcs,1000,119.65,2023-01-01
P0092,Кукуруза чипсы и снеки 17,Снеки,Чипсы и снеки,Кукуруза,pcs,330,130.81,2023-01-01
P0093,Хруст чипсы и снеки 18,Снеки,Чипсы и снеки,Хруст,pcs,750,183.79,2023-01-01
P0094,Хруст чипсы и снеки 19,Снеки,Чипсы и снеки,Хруст,pcs,250,173.79,2023-01-01
P0095,Snack Lab чипсы и снеки 20,Снеки,Чипсы и снеки,Snack Lab,pcs,250,134.41,2023-01-01
P0096,Snack Lab чипсы и снеки 21,Снеки,Чипсы и снеки,Snack Lab,pcs,450,101.11,2023-01-01
P0097,Snack Lab чипсы и снеки 22,Снеки,Чипсы и снеки,Snack Lab,pcs,1000,138.85,2023-01-01
P0098,Snack Lab чипсы и снеки 23,Снеки,Чипсы и снеки,Snack Lab,pcs,1000,130.39,2023-01-01
P0099,Кукуруза чипсы и снеки 24,Снеки,Чипсы и снеки,Кукуруза,pcs,1000,171.3,2023-01-01
P0100,Хруст чипсы и снеки 25,Снеки,Чипсы и снеки,Хруст,pcs,330,189.16,2023-01-01
P0101,Кукуруза чипсы и снеки 26,Снеки,Чипсы и снеки,Кукуруза,pcs,500,152.64,2023-01-01
P0102,Кукуруза чипсы и снеки 27,Снеки,Чипсы и снеки,Кукуруза,pcs,750,146.92,2023-01-01
P0103,Хруст чипсы и снеки 28,Снеки,Чипсы и снеки,Хруст,pcs,250,128.02,2023-01-01
P0104,Хруст чипсы и снеки 29,Снеки,Чипсы и снеки,Хруст,pcs,1000,164.62,2023-01-01
P0105,Хруст чипсы и снеки 30,Снеки,Чипсы и снеки,Хруст,pcs,450,107.26,2023-01-01
P0106,Ферма молоко и кисломолочные 1,Молочные продукты,Молоко и кисломолочные,Ферма,pcs,500,126.52,2023-01-01
P0107,Доброе утро молоко и кисломолочные 2,Молочные продукты,Молоко и кисломолочные,Доброе утро,pcs,1000,142.03,2023-01-01
P0108,Доброе утро молоко и кисломолочные 3,Молочные продукты,Молоко и кисломолочные,Доброе утро,pcs,250,107.95,2023-01-01
P0109,Ферма молоко и кисломолочные 4,Молочные продукты,Молоко и кисломолочные,Ферма,pcs,750,98.17,2023-01-01
P0110,Доброе утро молоко и кисломолочные 5,Молочные продукты,Молоко и кисломолочные,Доброе утро,pcs,750,166.53,2023-01-01
P0111,Ферма молоко и кисломолочные 6,Молочные продукты,Молоко и кисломолочные,Ферма,pcs,1000,111.37,2023-01-01
P0112,Ферма молоко и кисломолочные 7,Молочные продукты,Молоко и кисломолочные,Ферма,pcs,330,121.9,2023-01-01
P0113,Ферма молоко и кисломолочные 8,Молочные продукты,Молоко и кисломолочные,Ферма,pcs,500,114.29,2023-01-01
P0114,Доброе утро молоко и кисломолочные 9,Молочные продукты,Молоко и кисломолочные,Доброе утро,pcs,750,119.64,2023-01-01
P0115,Доброе утро молоко и кисломолочные 10,Молочные продукты,Молоко и кисломолочные,Доброе утро,pcs,450,73.15,2023-01-01
P0116,Доброе утро молоко и кисломолочные 11,Молочные продукты,Молоко и кисломолочные,Доброе утро,pcs,500,114.61,2023-01-01
P0117,Доброе утро молоко и кисломолочные 12,Молочные продукты,Молоко и кисломолочные,Доброе утро,pcs,1000,140.11,2023-01-01
P0118,Доброе утро молоко и кисломолочные 13,Молочные продукты,Молоко и кисломолочные,Доброе утро,pcs,450,69.98,2023-01-01
P0119,Ферма молоко и кисломолочные 14,Молочные продукты,Молоко и кисломолочные,Ферма,pcs,250,116.58,2023-01-01
P0120,Ферма молоко и кисломолочные 15,Молочные продукты,Молоко и кисломолочные,Ферма,pcs,250,137.18,2023-01-01
P0121,Луговое молоко и кисломолочные 16,Молочные продукты,Молоко и кисломолочные,Луговое,pcs,750,93.07,2023-01-01
P0122,Луговое молоко и кисломолочные 17,Молочные продукты,Молоко и кисломолочные,Луговое,pcs,500,121.92,2023-01-01
P0123,Ферма молоко и кисломолочные 18,Молочные продукты,Молоко и кисломолочные,Ферма,pcs,450,114.13,2023-01-01
P0124,Доброе утро молоко и кисломолочные 19,Молочные продукты,Молоко и кисломолочные,Доброе утро,pcs,500,114.89,2023-01-01
P0125,Луговое молоко и кисломолочные 20,Молочные продукты,Молоко и кисломолочные,Луговое,pcs,330,136.36,2023-01-01
P0126,Луговое молоко и кисломолочные 21,Молочные продукты,Молоко и кисломолочные,Луговое,pcs,750,156.45,2023-01-01
P0127,Ферма молоко и кисломолочные 22,Молочные продукты,Молоко и кисломолочные,Ферма,pcs,750,138.46,2023-01-01
P0128,Луговое молоко и кисломолочные 23,Молочные продукты,Молоко и кисломолочные,Луговое,pcs,450,72.73,2023-01-01
P0129,Луговое молоко и кисломолочные 24,Молочные продукты,Молоко и кисломолочные,Луговое,pcs,500,150.01,2023-01-01
P0130,Ферма молоко и кисломолочные 25,Молочные продукты,Молоко и кисломолочные,Ферма,pcs,1000,128.23,2023-01-01
P0131,Ферма молоко и кисломолочные 26,Молочные продукты,Молоко и кисломолочные,Ферма,pcs,250,166.47,2023-01-01
P0132,Ферма молоко и кисломолочные 27,Молочные продукты,Молоко и кисломолочные,Ферма,pcs,500,59.99,2023-01-01
P0133,Луговое молоко и кисломолочные 28,Молочные продукты,Молоко и кисломолочные,Луговое,pcs,330,117.46,2023-01-01
P0134,Доброе утро молоко и кисломолочные 29,Молочные продукты,Молоко и кисломолочные,Доброе утро,pcs,1000,170.27,2023-01-01
P0135,Ферма молоко и кисломолочные 30,Молочные продукты,Молоко и кисломолочные,Ферма,pcs,330,113.64,2023-01-01
P0136,Доброе утро молоко и кисломолочные 31,Молочные продукты,Молоко и кисломолочные,Доброе утро,pcs,450,137.98,2023-01-01
P0137,Ферма молоко и кисломолочные 32,Молочные продукты,Молоко и кисломолочные,Ферма,pcs,450,158.11,2023-01-01
P0138,Луговое молоко и кисломолочные 33,Молочные продукты,Молоко и кисломолочные,Луговое,pcs,500,130.13,2023-01-01
P0139,Доброе утро молоко и кисломолочные 34,Молочные продукты,Молоко и кисломолочные,Доброе утро,pcs,250,64.05,2023-01-01
P0140,Ферма молоко и кисломолочные 35,Молочные продукты,Молоко и кисломолочные,Ферма,pcs,330,80.58,2023-01-01
P0141,Луговое молоко и кисломолочные 36,Молочные продукты,Молоко и кисломолочные,Луговое,pcs,500,171.54,2023-01-01
P0142,Луговое молоко и кисломолочные 37,Молочные продукты,Молоко и кисломолочные,Луговое,pcs,330,89.86,2023-01-01
P0143,Ферма молоко и кисломолочные 38,Молочные продукты,Молоко и кисломолочные,Ферма,pcs,330,124.62,2023-01-01
P0144,Луговое молоко и кисломолочные 39,Молочные продукты,Молоко и кисломолочные,Луговое,pcs,1000,149.72,2023-01-01
P0145,Доброе утро молоко и кисломолочные 40,Молочные продукты,Молоко и кисломолочные,Доброе утро,pcs,330,56.38,2023-01-01
P0146,Запас основные продукты 1,Бакалея,Основные продукты,Запас,pcs,450,162.83,2023-01-01
P0147,Запас основные продукты 2,Бакалея,Основные продукты,Запас,pcs,250,197.94,2023-01-01
P0148,Запас основные продукты 3,Бакалея,Основные продукты,Запас,pcs,250,121.16,2023-01-01
P0149,Домашний стол основные продукты 4,Бакалея,Основные продукты,Домашний стол,pcs,450,146.71,2023-01-01
P0150,Каждый день основные продукты 5,Бакалея,Основные продукты,Каждый день,pcs,750,133.47,2023-01-01
P0151,Домашний стол основные продукты 6,Бакалея,Основные продукты,Домашний стол,pcs,1000,201.68,2023-01-01
P0152,Каждый день основные продукты 7,Бакалея,Основные продукты,Каждый день,pcs,500,58.69,2023-01-01
P0153,Домашний стол основные продукты 8,Бакалея,Основные продукты,Домашний стол,pcs,500,181.79,2023-01-01
P0154,Запас основные продукты 9,Бакалея,Основные продукты,Запас,pcs,330,141.8,2023-01-01
P0155,Домашний стол основные продукты 10,Бакалея,Основные продукты,Домашний стол,pcs,330,87.01,2023-01-01
P0156,Каждый день основные продукты 11,Бакалея,Основные продукты,Каждый день,pcs,1000,86.25,2023-01-01
P0157,Каждый день основные продукты 12,Бакалея,Основные продукты,Каждый день,pcs,330,93.93,2023-01-01
P0158,Домашний стол основные продукты 13,Бакалея,Основные продукты,Домашний стол,pcs,250,87.13,2023-01-01
P0159,Каждый день основные продукты 14,Бакалея,Основные продукты,Каждый день,pcs,1000,150.32,2023-01-01
P0160,Запас основные продукты 15,Бакалея,Основные продукты,Запас,pcs,750,208.19,2023-01-01
P0161,Каждый день основные продукты 16,Бакалея,Основные продукты,Каждый день,pcs,1000,184.79,2023-01-01
P0162,Запас основные продукты 17,Бакалея,Основные продукты,Запас,pcs,1000,185.35,2023-01-01
P0163,Запас основные продукты 18,Бакалея,Основные продукты,Запас,pcs,450,210.62,2023-01-01
P0164,Запас основные продукты 19,Бакалея,Основные продукты,Запас,pcs,450,118.7,2023-01-01
P0165,Каждый день основные продукты 20,Бакалея,Основные продукты,Каждый день,pcs,450,161.17,2023-01-01
P0166,Домашний стол основные продукты 21,Бакалея,Основные продукты,Домашний стол,pcs,750,209.48,2023-01-01
P0167,Запас основные продукты 22,Бакалея,Основные продукты,Запас,pcs,330,81.25,2023-01-01
P0168,Домашний стол основные продукты 23,Бакалея,Основные продукты,Домашний стол,pcs,450,126.91,2023-01-01
P0169,Каждый день основные продукты 24,Бакалея,Основные продукты,Каждый день,pcs,330,163.11,2023-01-01
P0170,Запас основные продукты 25,Бакалея,Основные продукты,Запас,pcs,450,97.83,2023-01-01
P0171,Запас основные продукты 26,Бакалея,Основные продукты,Запас,pcs,330,137.92,2023-01-01
P0172,Домашний стол основные продукты 27,Бакалея,Основные продукты,Домашний стол,pcs,250,211.15,2023-01-01
P0173,Домашний стол основные продукты 28,Бакалея,Основные продукты,Домашний стол,pcs,1000,225.03,2023-01-01
P0174,Каждый день основные продукты 29,Бакалея,Основные продукты,Каждый день,pcs,750,209.9,2023-01-01
P0175,Запас основные продукты 30,Бакалея,Основные продукты,Запас,pcs,450,152.73,2023-01-01
P0176,Каждый день основные продукты 31,Бакалея,Основные продукты,Каждый день,pcs,750,204.72,2023-01-01
P0177,Запас основные продукты 32,Бакалея,Основные продукты,Запас,pcs,250,105.92,2023-01-01
P0178,Домашний стол основные продукты 33,Бакалея,Основные продукты,Домашний стол,pcs,250,208.05,2023-01-01
P0179,Запас основные продукты 34,Бакалея,Основные продукты,Запас,pcs,250,144.23,2023-01-01
P0180,Домашний стол основные продукты 35,Бакалея,Основные продукты,Домашний стол,pcs,500,111.0,2023-01-01
P0181,Каждый день основные продукты 36,Бакалея,Основные продукты,Каждый день,pcs,450,88.2,2023-01-01
P0182,Запас основные продукты 37,Бакалея,Основные продукты,Запас,pcs,330,74.98,2023-01-01
P0183,Каждый день основные продукты 38,Бакалея,Основные продукты,Каждый день,pcs,500,64.9,2023-01-01
P0184,Запас основные продукты 39,Бакалея,Основные продукты,Запас,pcs,450,129.51,2023-01-01
P0185,Запас основные продукты 40,Бакалея,Основные продукты,Запас,pcs,750,120.73,2023-01-01
P0186,Каждый день основные продукты 41,Бакалея,Основные продукты,Каждый день,pcs,450,118.48,2023-01-01
P0187,Запас основные продукты 42,Бакалея,Основные продукты,Запас,pcs,500,210.23,2023-01-01
P0188,Каждый день основные продукты 43,Бакалея,Основные продукты,Каждый день,pcs,330,175.97,2023-01-01
P0189,Каждый день основные продукты 44,Бакалея,Основные продукты,Каждый день,pcs,450,78.64,2023-01-01
P0190,Каждый день основные продукты 45,Бакалея,Основные продукты,Каждый день,pcs,500,91.45,2023-01-01
P0191,Каждый день основные продукты 46,Бакалея,Основные продукты,Каждый день,pcs,1000,86.89,2023-01-01
P0192,Домашний стол основные продукты 47,Бакалея,Основные продукты,Домашний стол,pcs,500,179.61,2023-01-01
P0193,Каждый день основные продукты 48,Бакалея,Основные продукты,Каждый день,pcs,330,102.7,2023-01-01
P0194,Запас основные продукты 49,Бакалея,Основные продукты,Запас,pcs,1000,182.11,2023-01-01
P0195,Каждый день основные продукты 50,Бакалея,Основные продукты,Каждый день,pcs,1000,87.49,2023-01-01
P0196,Свежий выбор свежие продукты 1,Овощи и фрукты,Свежие продукты,Свежий выбор,kg,,168.35,2023-01-01
P0197,Фермерский ряд свежие продукты 2,Овощи и фрукты,Свежие продукты,Фермерский ряд,kg,,106.75,2023-01-01
P0198,Фермерский ряд свежие продукты 3,Овощи и фрукты,Свежие продукты,Фермерский ряд,kg,,190.36,2023-01-01
P0199,Фермерский ряд свежие продукты 4,Овощи и фрукты,Свежие продукты,Фермерский ряд,kg,,113.56,2023-01-01
P0200,Свежий выбор свежие продукты 5,Овощи и фрукты,Свежие продукты,Свежий выбор,kg,,149.63,2023-01-01
P0201,Свежий выбор свежие продукты 6,Овощи и фрукты,Свежие продукты,Свежий выбор,kg,,120.54,2023-01-01
P0202,Свежий выбор свежие продукты 7,Овощи и фрукты,Свежие продукты,Свежий выбор,kg,,119.46,2023-01-01
P0203,Фермерский ряд свежие продукты 8,Овощи и фрукты,Свежие продукты,Фермерский ряд,kg,,147.72,2023-01-01
P0204,Фермерский ряд свежие продукты 9,Овощи и фрукты,Свежие продукты,Фермерский ряд,kg,,166.57,2023-01-01
P0205,Свежий выбор свежие продукты 10,Овощи и фрукты,Свежие продукты,Свежий выбор,kg,,79.06,2023-01-01
P0206,Фермерский ряд свежие продукты 11,Овощи и фрукты,Свежие продукты,Фермерский ряд,kg,,183.69,2023-01-01
P0207,Свежий выбор свежие продукты 12,Овощи и фрукты,Свежие продукты,Свежий выбор,kg,,89.98,2023-01-01
P0208,Свежий выбор свежие продукты 13,Овощи и фрукты,Свежие продукты,Свежий выбор,kg,,174.19,2023-01-01
P0209,Свежий выбор свежие продукты 14,Овощи и фрукты,Свежие продукты,Свежий выбор,kg,,80.13,2023-01-01
P0210,Свежий выбор свежие продукты 15,Овощи и фрукты,Свежие продукты,Свежий выбор,kg,,144.55,2023-01-01
P0211,Фермерский ряд свежие продукты 16,Овощи и фрукты,Свежие продукты,Фермерский ряд,kg,,117.65,2023-01-01
P0212,Фермерский ряд свежие продукты 17,Овощи и фрукты,Свежие продукты,Фермерский ряд,kg,,134.46,2023-01-01
P0213,Фермерский ряд свежие продукты 18,Овощи и фрукты,Свежие продукты,Фермерский ряд,kg,,176.26,2023-01-01
P0214,Фермерский ряд свежие продукты 19,Овощи и фрукты,Свежие продукты,Фермерский ряд,kg,,88.45,2023-01-01
P0215,Фермерский ряд свежие продукты 20,Овощи и фрукты,Свежие продукты,Фермерский ряд,kg,,189.18,2023-01-01
P0216,Свежий выбор свежие продукты 21,Овощи и фрукты,Свежие продукты,Свежий выбор,kg,,168.37,2023-01-01
P0217,Фермерский ряд свежие продукты 22,Овощи и фрукты,Свежие продукты,Фермерский ряд,kg,,158.86,2023-01-01
P0218,Фермерский ряд свежие продукты 23,Овощи и фрукты,Свежие продукты,Фермерский ряд,kg,,169.11,2023-01-01
P0219,Фермерский ряд свежие продукты 24,Овощи и фрукты,Свежие продукты,Фермерский ряд,kg,,147.55,2023-01-01
P0220,Фермерский ряд свежие продукты 25,Овощи и фрукты,Свежие продукты,Фермерский ряд,pcs,500,178.04,2023-01-01
P0221,Фермерский ряд свежие продукты 26,Овощи и фрукты,Свежие продукты,Фермерский ряд,pcs,750,148.25,2023-01-01
P0222,Свежий выбор свежие продукты 27,Овощи и фрукты,Свежие продукты,Свежий выбор,pcs,500,209.72,2023-01-01
P0223,Фермерский ряд свежие продукты 28,Овощи и фрукты,Свежие продукты,Фермерский ряд,pcs,1000,80.77,2023-01-01
P0224,Фермерский ряд свежие продукты 29,Овощи и фрукты,Свежие продукты,Фермерский ряд,pcs,450,157.01,2023-01-01
P0225,Фермерский ряд свежие продукты 30,Овощи и фрукты,Свежие продукты,Фермерский ряд,pcs,750,112.43,2023-01-01
P0226,Фермерский ряд свежие продукты 31,Овощи и фрукты,Свежие продукты,Фермерский ряд,pcs,250,114.15,2023-01-01
P0227,Свежий выбор свежие продукты 32,Овощи и фрукты,Свежие продукты,Свежий выбор,pcs,450,180.61,2023-01-01
P0228,Фермерский ряд свежие продукты 33,Овощи и фрукты,Свежие продукты,Фермерский ряд,pcs,450,92.82,2023-01-01
P0229,Фермерский ряд свежие продукты 34,Овощи и фрукты,Свежие продукты,Фермерский ряд,pcs,1000,115.17,2023-01-01
P0230,Фермерский ряд свежие продукты 35,Овощи и фрукты,Свежие продукты,Фермерский ряд,pcs,500,195.18,2023-01-01
P0231,Свежий выбор свежие продукты 36,Овощи и фрукты,Свежие продукты,Свежий выбор,pcs,500,85.7,2023-01-01
P0232,Свежий выбор свежие продукты 37,Овощи и фрукты,Свежие продукты,Свежий выбор,pcs,500,148.56,2023-01-01
P0233,Фермерский ряд свежие продукты 38,Овощи и фрукты,Свежие продукты,Фермерский ряд,pcs,450,116.25,2023-01-01
P0234,Свежий выбор свежие продукты 39,Овощи и фрукты,Свежие продукты,Свежий выбор,pcs,250,182.47,2023-01-01
P0235,Фермерский ряд свежие продукты 40,Овощи и фрукты,Свежие продукты,Фермерский ряд,pcs,1000,136.49,2023-01-01
P0236,Можно есть готовые блюда 1,Готовая еда,Готовые блюда,Можно есть,pcs,250,256.58,2023-01-01
P0237,Обед рядом готовые блюда 2,Готовая еда,Готовые блюда,Обед рядом,pcs,450,151.33,2023-01-01
P0238,Можно есть готовые блюда 3,Готовая еда,Готовые блюда,Можно есть,pcs,250,179.69,2023-01-01
P0239,Можно есть готовые блюда 4,Готовая еда,Готовые блюда,Можно есть,pcs,500,313.69,2023-01-01
P0240,Можно есть готовые блюда 5,Готовая еда,Готовые блюда,Можно есть,pcs,1000,177.7,2023-01-01
P0241,Обед рядом готовые блюда 6,Готовая еда,Готовые блюда,Обед рядом,pcs,750,266.17,2023-01-01
P0242,Можно есть готовые блюда 7,Готовая еда,Готовые блюда,Можно есть,pcs,500,172.51,2023-01-01
P0243,Можно есть готовые блюда 8,Готовая еда,Готовые блюда,Можно есть,pcs,1000,338.6,2023-01-01
